is_com,coherence,hand_IT
147,0,0,0.64468
148,0,0,0.068836
149,0,0,0.09197
150,0,0,0.29571
151,0,0,0.019899
152,0,0,0.15246
153,0,0,0.40708
154,0,0,0.03271
155,0,0,0.12551
156,1,0,0.092975
157,0,0,0.22235
158,0,0,0.11452
159,1,0,0.10139
160,0,0,0.15697
161,1,0,0.15105
162,0,0,0.32474
163,1,0,0.023569
164,0,0,0.099987
165,0,0,0.14046
166,0,0,0.1792
167,1,0,0.035926
168,0,0,0.1033
169,0,0,0.022378
170,0,0,0.11619
171,0,0,0.12406
172,1,0,0.22409
173,0,0,0.11154
174,1,0,0.23116
175,0,0,0.0488
176,0,0,0.18546
177,0,0,0.23008
178,0,0,0.25369
179,0,0,0.23997
180,1,0,0.01988
181,0,0,0.33331
182,0,0,0.079125
183,0,0,0.27403
184,0,0,0.030573
185,0,0,0.25262
186,0,0,0.111
187,0,0,0.28057
188,0,0,0.048767
189,0,0,0.087256
190,1,0,0.25022
191,0,0,0.016272
192,1,0,0.14036
193,0,0,0.052509
194,0,0,0.043104
195,0,0,0.11217
196,0,0,0.14234
197,1,0,0.11962
198,0,0,0.10753
199,0,0,0.090851
200,0,0,0.11363
201,1,0,0.092337
202,0,0,0.10653
203,0,0,0.012568
204,0,0,0.038422
205,0,0,0.068673
206,0,0,0.12696
207,1,0,0.081172
208,1,0,0.18939
209,0,0,0.11091
210,1,0,0.058804
211,0,0,0.024434
212,0,0,0.23602
213,1,0,0.14613
214,0,0,0.3
215,0,0,0.18426
216,0,0,0.073257
217,0,0,0.094951
218,0,0,0.070703
219,0,0,0.18211
220,0,0,0.20396
221,0,0,0.087663
222,1,0,0.033997
223,0,0,0.092883
224,0,0,0.088639
225,0,0,0.30938
226,1,0,0.31753
227,0,0,0.44387
228,0,0,0.31414
229,0,0,0.095193
230,0,0,0.26179
231,0,0,0.16799
232,0,0,0.075903
233,0,0,0.10571
234,0,0,0.088543
235,0,0,0.039401
236,0,0,0.057583
237,0,0,0.53357
238,0,0,0.048835
239,1,0,0.036678
240,1,0,0.059768
241,0,0,0.075237
242,1,0,0.27714
243,0,0,0.17492
244,0,0,0.45607
245,0,0,0.098112
246,0,0,0.047707
247,0,0,0.10052
248,1,0,0.38248
249,0,0,0.095664
250,1,0,0.041665
251,0,0,0.16086
252,1,0,0.091544
253,0,0,0.067841
254,0,0,0.17307
255,0,0,0.043778
256,1,0,0.30354
257,1,0,0.073049
258,0,0,0.092656
259,1,0,0.20202
260,0,0,0.035104
261,0,0,0.14865
262,1,0,0.04164
263,1,0,0.10082
264,0,0,0.12146
265,1,0,0.54522
266,0,0,0.21376
267,0,0,0.15907
268,1,0,0.19629
269,1,0,0.33999
270,0,0,0.067281
271,0,0,0.042217
272,1,0,0.32211
273,0,0,0.15678
274,1,0,0.13878
275,0,0,0.49818
276,0,0,0.34659
277,0,0,0.20551
278,1,0,0.19252
279,1,0,0.19353
280,0,0,0.12517
281,0,0,0.062588
282,0,0,0.34493
283,0,0,0.13505
284,0,0,0.21797
285,0,0,0.36901
286,0,0,0.11778
287,0,0,0.2932
288,0,0,0.10631
289,0,0,0.070222
290,0,0,0.16074
291,0,0,0.21425
292,0,0,0.53476
293,0,0,0.22403
294,0,0,0.26961
295,0,0,0.037999
296,0,0,0.11682
297,1,0,0.017366
298,0,0,0.066676
299,0,0,0.054653
300,1,0,0.11247
301,1,0,0.16776
302,0,0,0.23815
303,1,0,0.10048
304,0,0,0.074944
305,0,0,0.58061
306,0,0,0.04123
307,0,0,0.16908
308,0,0,0.059499
309,0,0,0.031559
310,1,0,0.19659
311,0,0,0.10862
312,0,0,0.059394
313,0,0,0.2114
314,1,0,0.079013
315,0,0,0.16582
316,0,0,0.040922
317,0,0,0.39609
318,0,0,0.091266
319,0,0,0.08197
320,0,0,0.039877
