y_1_25,y_2_25,y_5_25,y_6_25,y_mc_hu_25,y_1,y_2,y_5,y_6,y_mc_hu
2.3968,2.4035,0,0,0,2.3543,2.479,0,0,0
2.3754,2.4179,0,0,0,2.3661,2.4729,0,0,0
2.373,2.436,0,0,0,2.3539,2.4817,0,0,0
2.3884,2.436,0,0,0,2.3597,2.493,0,0,0
2.3936,2.4554,0,0,0,2.3685,2.4893,0,0,0
2.4016,2.4498,0,0,0,2.3743,2.4665,0,0,0
2.4088,2.4525,0,0,0,2.3607,2.4795,0,0,0
2.4204,2.4327,0,0,0,2.358,2.5007,0,0,0
2.4108,2.4271,0,0,0,2.3529,2.5062,0,0,0
2.4022,2.4317,0,0,0,2.3705,2.5162,0,0,0
2.4085,2.4247,0,0,0,2.3741,2.5004,0,0,0
2.4052,2.4227,0,0,0,2.3497,2.4703,0,0,0
2.4136,2.4409,0,0,0,2.3655,2.4853,0,0,0
2.4261,2.4435,0,0,0,2.3554,2.5023,0,0,0
2.4265,2.457,0,0,0,2.3689,2.4892,0,0,0
2.446,2.4268,0,0,0,2.3866,2.496,0,0,0
2.4432,2.4402,0,0,0,2.375,2.483,0,0,0
2.4612,2.4546,0,0,0,2.3758,2.4738,0,0,0
2.4508,2.4373,0,0,0,2.3561,2.4998,0,0,0
2.4506,2.4394,0,0,0,2.3547,2.51,0,0,0
2.4303,2.4584,0,0,0,2.3379,2.5148,0,0,0
2.4198,2.4544,0,0,0,2.3726,2.4965,0,0,0
2.4094,2.4589,0,0,0,2.374,2.5043,0,0,0
2.4072,2.4564,0,0,0,2.3843,2.4953,0,0,0
2.395,2.4714,0,0,0,2.3894,2.5055,0,0,0
2.4174,2.4835,0,0,0,2.4041,2.5,0,0,0
2.3958,2.4841,0,0,0,2.3871,2.4802,0,0,0
2.4059,2.4778,0,0,0,2.3719,2.4752,0,0,0
2.4062,2.4611,0,0,0,2.3452,2.4716,0,0,0
2.4194,2.4627,0,0,0,2.3602,2.5084,0,0,0
2.4359,2.4599,0,0,0,2.3534,2.4863,0,0,0
2.4536,2.448,0,0,0,2.357,2.5206,0,0,0
2.463,2.4754,0,0,0,2.3528,2.5127,0,0,0
2.4427,2.4749,0,0,0,2.3682,2.5267,0,0,0
2.4404,2.4932,0,0,0,2.3753,2.5286,0,0,0
2.4332,2.4819,0,0,0,2.3595,2.5413,0,0,0
2.4195,2.483,0,0,0,2.3722,2.5435,0,0,0
2.4284,2.4921,0,0,0,2.3934,2.5623,0,0,0
2.4357,2.5026,0,0,0,2.411,2.5739,0,0,0
2.3978,2.5097,0,0,0,2.3992,2.5287,0,0,0
2.4021,2.4893,0,0,0,2.4141,2.5259,0,0,0
2.384,2.484,0,0,0,2.3882,2.5322,0,0,0
2.3922,2.4804,0,0,0,2.3953,2.5191,0,0,0
2.4093,2.486,0,0,0,2.4077,2.4943,0,0,0
2.4324,2.4851,0,0,0,2.3958,2.502,0,0,0
2.4168,2.482,0,0,0,2.4139,2.5323,0,0,0
