is_com,coherence,uncertainty
1023,0,0,0
1024,0,0,0.42593
1025,0,0,0.49551
1026,0,0,0
1027,0,0,0.36121
1028,0,0,0
1029,0,0,0.16424
1030,0,0,0
1031,0,0,0.36038
1032,0,0,0.37244
1033,0,0,0
1034,0,0,0.18298
1035,0,0,0.33031
1036,0,0,0
1037,0,0,0.62815
1038,0,0,0
1039,0,0,0
1040,0,0,0
1041,0,0,0
1042,0,0,0.49094
1043,0,0,0.28572
1044,0,0,0
1045,0,0,0.73057
1046,0,0,0.40024
1047,0,0,0.34954
1048,0,0,0.61162
1049,0,0,0.28075
1050,0,0,0
1051,0,0,0.24273
1052,0,0,0
1053,0,0,0.65613
1054,0,0,0.51185
1055,0,0,0.2228
1056,0,0,0
1057,0,0,0
1058,0,0,0
1059,0,0,0
1060,0,0,0.21115
1061,0,0,0.65266
1062,0,0,0
1063,0,0,0
1064,0,0,0.38813
1065,0,0,0
1066,0,0,0
1067,0,0,0.1154
1068,0,0,0
1069,0,0,0.25118
1070,0,0,0.37662
1071,0,0,0
1072,0,0,0.22038
1073,0,0,0.079484
1074,1,0,0.45472
1075,0,0,0
1076,0,0,0.5193
1077,0,0,0.22524
1078,0,0,0.32624
1079,0,0,0.36412
1080,0,0,0.55905
1081,0,0,0
1082,0,0,0.15984
1083,0,0,0.78089
1084,0,0,0
1085,0,0,0
1086,0,0,0.33281
1087,0,0,0
1088,0,0,0
1089,0,0,0
1090,0,0,0
1091,0,0,0.55913
1092,0,0,0.43044
1093,0,0,0
1094,0,0,0
1095,0,0,0
1096,0,0,0.46233
1097,0,0,0
1098,0,0,0
1099,0,0,0
1100,0,0,0.64737
1101,0,0,0
1102,0,0,0
1103,0,0,0
1104,0,0,0
1105,0,0,0
1106,0,0,0
1107,0,0,0
1108,0,0,0.82858
1109,0,0,0.42325
1110,0,0,0.2093
1111,0,0,0
1112,0,0,0
1113,0,0,0.15266
1114,0,0,0.69844
1115,0,0,0
1116,0,0,0.81428
1117,0,0,0
1118,0,0,0.11533
1119,0,0,0
1120,0,0,0
1121,0,0,0.74549
1122,0,0,0
1123,1,0,0.26197
1124,0,0,0
1125,0,0,0
1126,0,0,0
1127,0,0,0
1128,0,0,0.43335
1129,0,0,0
1130,0,0,0.689
1131,0,0,0.49714
1132,0,0,0.26859
1133,0,0,0
1134,0,0,0
1135,0,0,0.436
1136,0,0,0.55044
1137,0,0,0.42342
1138,0,0,0
1139,0,0,0.32425
1140,0,0,0
1141,0,0,0
1142,0,0,0
1143,0,0,0
1144,0,0,0
1145,0,0,0
1146,0,0,0
1147,0,0,0.44978
1148,0,0,0.62676
1149,0,0,0
1150,0,0,0
1151,0,0,0.64793
1152,0,0,0.32461
1153,0,0,0.26021
1154,0,0,0
1155,0,0,0
1156,0,0,0
1157,0,0,0
1158,0,0,0.52548
1159,0,0,0
1160,0,0,0
1161,0,0,0
1162,0,0,0
1163,0,0,0.45737
1164,0,0,0
1165,1,0,0.57656
1166,0,0,0.17095
1167,0,0,0.5807
1168,0,0,0
1169,0,0,0.77548
1170,0,0,0
1171,0,0,0.38135
1172,0,0,0
1173,0,0,0.86089
1174,0,0,0.52957
1175,0,0,0
1176,0,0,0
1177,0,0,0
1178,0,0,0
1179,0,0,0.44181
1180,0,0,0.37075
1181,0,0,0.4051
1182,0,0,0
1183,0,0,0
1184,0,0,0.13437
1185,0,0,0.4204
1186,0,0,0
1187,0,0,0
1188,0,0,0
1189,0,0,0
1190,0,0,0.28423
1191,0,0,0.083939
1192,0,0,0.54377
1193,0,0,0
1194,0,0,0.22822
1195,0,0,0.51479
1196,0,0,0
1197,0,0,0
1198,0,0,0
1199,0,0,0.076274
1200,0,0,0.24812
1201,0,0,0.68491
1202,0,0,0
1203,0,0,0.17712
1204,0,0,0
1205,0,0,0
1206,0,0,0
1207,0,0,0
1208,0,0,0
1209,0,0,0
1210,0,0,0.1494
1211,0,0,0.22726
1212,0,0,0
1213,0,0,0
