y_1_25,y_2_25,y_3_25,y_4_25,y_5_25,y_6_25,y_7_25,y_8_25,y_mc_hu_25,y_mc_lu_25,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_mc_hu,y_mc_lu
2.3943,2.3362,0,0,0,0,0,0,0,0,2.3407,2.4208,0,0,0,0,0,0,0,0
2.3586,2.3475,0,0,0,0,0,0,0,0,2.2813,2.4204,0,0,0,0,0,0,0,0
2.3613,2.3546,0,0,0,0,0,0,0,0,2.3086,2.4356,0,0,0,0,0,0,0,0
2.3666,2.3365,0,0,0,0,0,0,0,0,2.308,2.3992,0,0,0,0,0,0,0,0
2.3507,2.3515,0,0,0,0,0,0,0,0,2.2895,2.3848,0,0,0,0,0,0,0,0
2.3331,2.3778,0,0,0,0,0,0,0,0,2.2884,2.4513,0,0,0,0,0,0,0,0
2.3333,2.3732,0,0,0,0,0,0,0,0,2.2936,2.4315,0,0,0,0,0,0,0,0
2.3359,2.3719,0,0,0,0,0,0,0,0,2.34,2.4392,0,0,0,0,0,0,0,0
2.3518,2.3789,0,0,0,0,0,0,0,0,2.3707,2.4307,0,0,0,0,0,0,0,0
2.3417,2.3915,0,0,0,0,0,0,0,0,2.3348,2.4285,0,0,0,0,0,0,0,0
2.3653,2.3992,0,0,0,0,0,0,0,0,2.3324,2.4418,0,0,0,0,0,0,0,0
2.382,2.4101,0,0,0,0,0,0,0,0,2.3299,2.4303,0,0,0,0,0,0,0,0
2.3767,2.4155,0,0,0,0,0,0,0,0,2.3223,2.4267,0,0,0,0,0,0,0,0
2.3692,2.4,0,0,0,0,0,0,0,0,2.3352,2.4262,0,0,0,0,0,0,0,0
2.3667,2.4002,0,0,0,0,0,0,0,0,2.3555,2.4467,0,0,0,0,0,0,0,0
2.3771,2.3853,0,0,0,0,0,0,0,0,2.3202,2.4697,0,0,0,0,0,0,0,0
2.3972,2.376,0,0,0,0,0,0,0,0,2.3225,2.4914,0,0,0,0,0,0,0,0
2.4177,2.3896,0,0,0,0,0,0,0,0,2.3394,2.4973,0,0,0,0,0,0,0,0
2.4133,2.4022,0,0,0,0,0,0,0,0,2.3238,2.5079,0,0,0,0,0,0,0,0
2.4,2.4024,0,0,0,0,0,0,0,0,2.3159,2.5093,0,0,0,0,0,0,0,0
2.4012,2.4092,0,0,0,0,0,0,0,0,2.3075,2.5013,0,0,0,0,0,0,0,0
2.3973,2.3897,0,0,0,0,0,0,0,0,2.3384,2.4854,0,0,0,0,0,0,0,0
2.401,2.3967,0,0,0,0,0,0,0,0,2.3531,2.4568,0,0,0,0,0,0,0,0
2.416,2.3999,0,0,0,0,0,0,0,0,2.3564,2.4586,0,0,0,0,0,0,0,0
2.4152,2.4039,0,0,0,0,0,0,0,0,2.3225,2.4425,0,0,0,0,0,0,0,0
2.4046,2.4064,0,0,0,0,0,0,0,0,2.3484,2.4076,0,0,0,0,0,0,0,0
2.4059,2.3997,0,0,0,0,0,0,0,0,2.348,2.423,0,0,0,0,0,0,0,0
2.4429,2.396,0,0,0,0,0,0,0,0,2.3604,2.4175,0,0,0,0,0,0,0,0
2.4501,2.3956,0,0,0,0,0,0,0,0,2.3414,2.4088,0,0,0,0,0,0,0,0
2.4188,2.3919,0,0,0,0,0,0,0,0,2.3534,2.4306,0,0,0,0,0,0,0,0
2.4166,2.4053,0,0,0,0,0,0,0,0,2.3369,2.4332,0,0,0,0,0,0,0,0
2.4246,2.4173,0,0,0,0,0,0,0,0,2.3311,2.4346,0,0,0,0,0,0,0,0
2.4099,2.4024,0,0,0,0,0,0,0,0,2.3414,2.4272,0,0,0,0,0,0,0,0
2.3926,2.4132,0,0,0,0,0,0,0,0,2.3366,2.4365,0,0,0,0,0,0,0,0
2.4084,2.439,0,0,0,0,0,0,0,0,2.3433,2.4701,0,0,0,0,0,0,0,0
2.4067,2.4054,0,0,0,0,0,0,0,0,2.3339,2.4332,0,0,0,0,0,0,0,0
2.4101,2.4288,0,0,0,0,0,0,0,0,2.3249,2.4404,0,0,0,0,0,0,0,0
2.3877,2.4166,0,0,0,0,0,0,0,0,2.3248,2.4685,0,0,0,0,0,0,0,0
2.3769,2.4186,0,0,0,0,0,0,0,0,2.3412,2.4887,0,0,0,0,0,0,0,0
2.4038,2.415,0,0,0,0,0,0,0,0,2.373,2.4769,0,0,0,0,0,0,0,0
2.4021,2.426,0,0,0,0,0,0,0,0,2.3669,2.4657,0,0,0,0,0,0,0,0
2.416,2.4395,0,0,0,0,0,0,0,0,2.3736,2.4888,0,0,0,0,0,0,0,0
2.4283,2.4497,0,0,0,0,0,0,0,0,2.3713,2.4986,0,0,0,0,0,0,0,0
2.4316,2.4413,0,0,0,0,0,0,0,0,2.3931,2.4751,0,0,0,0,0,0,0,0
