is_com,coherence,hand_IT
123,0,0,0.97694
124,0,0,0.97353
125,1,0,0.9778
126,0,0,0.98036
127,0,0,0.97865
128,0,0,0.97865
129,0,0,0.66097
130,1,0,0.98975
131,0,0,0.56277
132,0,0,0.97096
133,0,0,0.79078
134,1,0,0.98121
135,0,0,0.69342
136,0,0,0.96413
137,0,0,0.87361
138,0,0,0.81896
139,0,0,0.9667
140,1,0,0.98548
141,0,0,0.9573
142,0,0,0.97011
143,0,0,0.78395
144,0,0,0.97609
145,0,0,0.60547
146,0,0,0.9795
147,0,0,0.94193
148,0,0,0.98548
149,0,0,0.99061
150,1,0,0.98121
151,1,0,0.97865
152,0,0,0.52178
153,0,0,0.91033
154,1,0,0.97865
155,0,0,0.93339
156,0,0,0.85568
157,0,0,0.96157
158,1,0,0.99061
159,0,0,0.74466
160,0,0,0.97609
161,1,0,0.97523
162,0,0,0.48506
163,0,0,0.98804
164,0,0,0.96157
165,0,0,0.97267
166,0,0,0.85739
167,0,0,0.89411
168,0,0,0.79846
169,0,0,0.9667
170,0,0,0.97267
171,0,0,0.96755
172,0,0,0.97523
173,1,0,0.9778
174,0,0,0.97523
175,0,0,0.84287
176,0,0,0.42442
177,0,0,0.86593
178,0,0,0.96926
179,0,0,0.72758
180,0,0,0.82237
181,0,0,0.91973
182,0,0,0.28266
183,0,0,0.98548
184,0,0,0.97523
185,0,0,0.8386
186,0,0,0.58241
187,0,0,0.93083
188,0,0,0.74808
189,0,0,0.96584
190,1,0,0.98463
191,0,0,0.98121
192,0,0,0.90692
193,0,0,0.49445
194,0,0,0.9795
195,0,0,0.81213
196,0,0,0.97694
197,0,0,0.73954
198,1,0,0.97267
199,0,0,0.8924
200,0,0,0.91546
201,0,0,0.98121
202,0,0,0.54569
203,0,0,0.57728
204,0,0,0.98292
205,0,0,0.96926
206,0,0,0.64219
207,0,0,0.42528
208,0,0,0.85995
209,0,0,0.96499
210,0,0,0.75491
211,0,0,0.89923
212,0,0,0.95986
213,0,0,0.29547
214,0,0,0.9667
215,0,0,0.95132
216,0,0,0.6994
217,0,0,0.97011
218,1,0,0.98036
219,0,0,0.97267
220,0,0,0.97523
221,0,0,0.9778
222,0,0,0.97609
223,0,0,0.7532
224,0,0,0.83518
225,0,0,0.67976
226,0,0,0.97523
227,0,0,0.98121
228,0,0,0.73527
229,0,0,0.98719
230,0,0,0.72673
231,0,0,0.96584
232,1,0,0.98804
233,0,0,0.64987
234,0,0,0.65927
235,0,0,0.67635
236,0,0,0.98804
237,0,0,0.87361
238,0,0,0.98463
239,0,0,0.72844
240,0,0,0.54313
241,0,0,0.98292
242,0,0,0.66097
243,1,0,0.98036
244,0,0,0.9684
245,0,0,0.72502
246,0,0,0.97267
247,0,0,0.69086
248,0,0,0.98121
249,0,0,0.97865
250,0,0,0.86593
251,1,0,0.9778
252,0,0,0.98463
253,0,0,0.63535
254,0,0,0.74893
255,0,0,0.97523
