pcorrect_com_x_fit,pcorrect_com_y_fit
4.9664,0.55099
4.992,0.55122
5.0176,0.55144
5.0432,0.55167
5.0688,0.5519
5.0944,0.55212
5.12,0.55235
5.1456,0.55258
5.1712,0.5528
5.1968,0.55303
5.2224,0.55325
5.248,0.55348
5.2736,0.55371
5.2992,0.55393
5.3248,0.55415
5.3504,0.55438
5.376,0.5546
5.4016,0.55483
5.4272,0.55505
5.4528,0.55528
5.4784,0.5555
5.504,0.55572
5.5296,0.55595
5.5552,0.55617
5.5808,0.55639
5.6064,0.55661
5.632,0.55684
5.6576,0.55706
5.6832,0.55728
5.7088,0.5575
5.7344,0.55773
5.76,0.55795
5.7856,0.55817
5.8112,0.55839
5.8368,0.55861
5.8624,0.55883
5.888,0.55905
5.9136,0.55927
5.9392,0.55949
5.9648,0.55971
5.9904,0.55993
6.016,0.56015
6.0416,0.56037
6.0672,0.56059
6.0928,0.56081
6.1184,0.56103
6.144,0.56125
6.1696,0.56146
6.1952,0.56168
6.2208,0.5619
6.2464,0.56212
6.272,0.56234
6.2976,0.56255
6.3232,0.56277
6.3488,0.56299
6.3744,0.56321
6.4,0.56342
6.4256,0.56364
6.4512,0.56385
6.4768,0.56407
6.5024,0.56429
6.528,0.5645
6.5536,0.56472
6.5792,0.56493
6.6048,0.56515
6.6304,0.56536
6.656,0.56558
6.6816,0.56579
6.7072,0.56601
6.7328,0.56622
6.7584,0.56644
6.784,0.56665
6.8096,0.56686
6.8352,0.56708
6.8608,0.56729
6.8864,0.5675
6.912,0.56772
6.9376,0.56793
6.9632,0.56814
6.9888,0.56835
7.0144,0.56856
7.04,0.56878
7.0656,0.56899
7.0912,0.5692
7.1168,0.56941
7.1424,0.56962
7.168,0.56983
7.1936,0.57004
7.2192,0.57025
7.2448,0.57046
7.2704,0.57067
7.296,0.57088
7.3216,0.57109
7.3472,0.5713
7.3728,0.57151
7.3984,0.57172
7.424,0.57193
7.4496,0.57214
7.4752,0.57235
7.5008,0.57256
7.5264,0.57277
7.552,0.57297
7.5776,0.57318
7.6032,0.57339
7.6288,0.5736
7.6544,0.5738
7.68,0.57401
7.7056,0.57422
7.7312,0.57442
7.7568,0.57463
7.7824,0.57484
7.808,0.57504
7.8336,0.57525
7.8592,0.57545
7.8848,0.57566
7.9104,0.57587
7.936,0.57607
7.9616,0.57628
7.9872,0.57648
8.0128,0.57668
8.0384,0.57689
8.064,0.57709
8.0896,0.5773
8.1152,0.5775
8.1408,0.5777
8.1664,0.57791
8.192,0.57811
8.2176,0.57831
8.2432,0.57852
8.2688,0.57872
