is_com,coherence,eye_IT
146,0,0,0.97529
147,0,0,0.82125
148,0,0,0.98105
149,0,0,0.9374
150,0,0,0.98023
151,1,0,0.76442
152,0,0,0.50082
153,0,0,0.59473
154,1,0,0.97941
155,0,0,0.79654
156,0,0,0.55848
157,0,0,0.83608
158,0,0,0.99012
159,0,0,0.75371
160,0,0,0.97858
161,0,0,0.97694
162,0,0,0.33937
163,0,0,0.98847
164,0,0,0.57743
165,0,0,0.93163
166,0,0,0.47941
167,0,0,0.77512
168,0,0,0.76853
169,0,0,0.96952
170,0,0,0.81137
171,0,0,0.7916
172,0,0,0.80643
173,1,0,0.97776
174,0,0,0.97776
175,0,0,0.71582
176,0,0,0.44481
177,0,0,0.77018
178,0,0,0.67628
179,0,0,0.60132
180,0,0,0.80313
181,0,0,0.86161
182,0,0,0.229
183,0,0,0.986
184,0,0,0.72735
185,0,0,0.56178
186,0,0,0.49671
187,0,0,0.7883
188,0,0,0.30725
189,0,0,0.9341
190,0,0,0.9827
191,0,0,0.96787
192,0,0,0.7603
193,0,0,0.33196
194,0,0,0.97776
195,0,0,0.70181
196,0,0,0.97776
197,0,0,0.74712
198,1,0,0.9687
199,0,0,0.50741
200,0,0,0.77759
201,0,0,0.97035
202,0,0,0.50577
203,0,0,0.47117
204,0,0,0.98435
205,0,0,0.6285
206,0,0,0.65568
207,0,0,0.3369
208,0,0,0.75206
209,0,0,0.91269
210,0,0,0.73394
211,0,0,0.90445
212,0,0,0.96293
213,0,0,0.24876
214,0,0,0.9687
215,0,0,0.4827
216,0,0,0.47199
217,0,0,0.85502
218,1,0,0.9827
219,0,0,0.71417
220,0,0,0.86985
221,0,0,0.70758
222,0,0,0.9687
223,0,0,0.55437
224,0,0,0.30725
225,0,0,0.58731
226,0,0,0.8682
227,0,0,0.73311
228,0,0,0.54778
229,0,0,0.98847
230,0,0,0.60132
231,0,0,0.57825
232,0,0,0.98517
233,0,0,0.54119
234,0,0,0.67216
235,0,0,0.67545
236,0,0,0.98435
237,0,0,0.63262
238,0,0,0.98353
239,0,0,0.49176
240,0,0,0.51483
241,0,0,0.98517
242,0,0,0.67381
243,0,0,0.97858
244,0,0,0.7743
245,0,0,0.73476
246,0,0,0.93904
247,0,0,0.36738
248,0,0,0.88962
249,0,0,0.97858
250,0,0,0.72241
251,0,0,0.97282
252,0,0,0.97446
253,0,0,0.58155
254,0,0,0.63839
255,0,0,0.70675
256,0,0,0.7883
257,0,0,0.65733
258,0,0,0.42669
259,0,0,0.98764
260,0,0,0.9687
261,0,0,0.9827
262,0,0,0.94811
263,0,0,0.73558
264,0,0,0.84761
265,0,0,0.89951
266,0,0,0.66969
267,0,0,0.77183
268,0,0,0.80725
269,0,0,0.75865
270,0,0,0.97694
271,0,0,0.50165
272,0,0,0.98023
273,0,0,0.99012
274,0,0,0.64827
275,0,0,0.42422
276,0,0,0.98764
277,0,0,0.77512
278,0,0,0.44234
279,0,0,0.98929
280,0,0,0.61862
281,0,0,0.79077
282,0,0,0.97858
283,0,0,0.98847
284,0,0,0.73641
285,0,0,0.6911
286,1,0,0.986
287,0,0,0.83278
288,0,0,0.97282
289,0,0,0.70181
290,0,0,0.9827
291,0,0,0.61614
292,0,0,0.49506
293,0,0,0.9827
294,0,0,0.43822
295,0,0,0.48929
296,0,0,0.98435
297,0,0,0.42916
298,0,0,0.71993
299,0,0,0.51071
300,0,0,0.78089
301,0,0,0.771
302,0,0,0.38303
303,0,0,0.6145
304,0,0,0.86573
305,0,0,0.98105
306,0,0,0.50412
307,0,0,0.72158
308,0,0,0.97529
309,0,0,0.42175
310,0,0,0.85997
311,0,0,0.56507
312,0,0,0.82455
313,0,0,0.83773
314,1,0,0.91433
315,0,0,0.98105
316,0,0,0.19522
317,0,0,0.65486
318,0,0,0.48105
319,0,0,0.77759
320,0,0,0.74794
321,0,0,0.58155
322,0,0,0.8196
323,0,0,0.98929
324,0,0,0.28418
325,0,0,0.76277
326,0,0,0.56837
327,0,0,0.98517
328,0,0,0.59638
329,0,0,0.56507
330,0,0,0.97776
331,0,0,0.92916
332,0,0,0.97611
333,0,0,0.98435
334,0,0,0.75947
335,0,0,0.65404
336,0,0,0.40774
337,0,0,0.9514
338,0,0,0.90115
339,0,0,0.65157
340,0,0,0.97446
341,0,0,0.37479
342,0,0,0.44811
343,0,0,0.92092
344,0,0,0.43904
345,0,0,0.5313
346,0,0,0.80148
347,0,0,0.46787
348,0,0,0.97694
349,0,0,0.21334
350,0,0,0.70511
351,0,0,0.54613
352,1,0,0.93987
353,0,0,0.97858
354,0,0,0.41928
355,0,0,0.40527
356,0,0,0.8855
357,0,0,0.93657
358,0,0,0.96046
359,0,0,0.36738
360,0,0,0.51153
361,0,0,0.97529
362,0,0,0.57002
363,0,0,0.078254
364,0,0,0.9827
365,0,0,0.98682
366,0,0,0.78995
367,0,0,0.96705
368,0,0,0.98023
369,0,0,0.86491
370,0,0,0.90692
371,0,0,0.72817
372,0,0,0.97364
373,0,0,0.97941
374,0,0,0.9827
375,0,0,0.64415
376,0,0,0.86903
377,0,0,0.98023
378,0,0,0.67628
379,0,0,0.96952
380,0,0,0.87644
381,0,0,0.55601
382,0,0,0.81549
383,0,0,0.70346
384,0,0,0.32784
385,0,0,0.81384
386,0,0,0.97529
387,0,0,0.50082
388,0,0,0.42916
389,0,0,0.96376
390,0,0,0.50247
391,0,0,0.85173
392,0,0,0.66063
393,0,0,0.66145
394,0,0,0.70923
