y_1_25,y_2_25,y_5_25,y_6_25,y_mc_hu_25,y_1,y_2,y_5,y_6,y_mc_hu
2.3347,2.3407,0,0,0,2.3092,2.3663,0,0,0
2.3266,2.3478,0,0,0,2.296,2.3645,0,0,0
2.3242,2.3368,0,0,0,2.3036,2.3648,0,0,0
2.3208,2.3494,0,0,0,2.3099,2.3694,0,0,0
2.3218,2.344,0,0,0,2.3073,2.3653,0,0,0
2.3072,2.3513,0,0,0,2.299,2.3794,0,0,0
2.3077,2.3575,0,0,0,2.2707,2.3833,0,0,0
2.3402,2.3804,0,0,0,2.2716,2.3855,0,0,0
2.3434,2.3769,0,0,0,2.2619,2.391,0,0,0
2.3243,2.3872,0,0,0,2.2712,2.3999,0,0,0
2.3397,2.3767,0,0,0,2.277,2.4148,0,0,0
2.3298,2.3872,0,0,0,2.2997,2.4283,0,0,0
2.352,2.3757,0,0,0,2.2838,2.4205,0,0,0
2.341,2.3572,0,0,0,2.3044,2.4489,0,0,0
2.3571,2.3557,0,0,0,2.3239,2.4354,0,0,0
2.3727,2.3728,0,0,0,2.3136,2.4332,0,0,0
2.3618,2.3636,0,0,0,2.3166,2.432,0,0,0
2.3368,2.3906,0,0,0,2.3159,2.4302,0,0,0
2.3337,2.373,0,0,0,2.3019,2.4148,0,0,0
2.3328,2.3713,0,0,0,2.2997,2.393,0,0,0
2.3605,2.3709,0,0,0,2.2938,2.4261,0,0,0
2.3563,2.3777,0,0,0,2.3199,2.4219,0,0,0
2.3762,2.3782,0,0,0,2.3215,2.4178,0,0,0
2.3433,2.3804,0,0,0,2.2942,2.4244,0,0,0
2.3504,2.4039,0,0,0,2.3074,2.4315,0,0,0
2.3414,2.4132,0,0,0,2.2976,2.4043,0,0,0
2.3429,2.4208,0,0,0,2.3122,2.4254,0,0,0
2.3522,2.4104,0,0,0,2.3233,2.4227,0,0,0
2.3367,2.4005,0,0,0,2.3102,2.4603,0,0,0
2.3659,2.3812,0,0,0,2.3307,2.4436,0,0,0
2.3505,2.3957,0,0,0,2.3277,2.4142,0,0,0
2.3571,2.3793,0,0,0,2.3319,2.4095,0,0,0
2.3422,2.3836,0,0,0,2.3302,2.4086,0,0,0
2.3491,2.3767,0,0,0,2.3158,2.3872,0,0,0
2.3723,2.3808,0,0,0,2.2952,2.442,0,0,0
2.3723,2.364,0,0,0,2.3131,2.4613,0,0,0
2.3873,2.3728,0,0,0,2.3316,2.4566,0,0,0
2.3795,2.3941,0,0,0,2.3286,2.4384,0,0,0
2.3705,2.3946,0,0,0,2.3383,2.3955,0,0,0
2.3886,2.4026,0,0,0,2.3695,2.4125,0,0,0
2.3716,2.3973,0,0,0,2.4033,2.4373,0,0,0
2.3636,2.4011,0,0,0,2.3916,2.4392,0,0,0
2.3775,2.3927,0,0,0,2.3881,2.4248,0,0,0
2.3721,2.396,0,0,0,2.3906,2.4105,0,0,0
2.3837,2.4229,0,0,0,2.3761,2.4314,0,0,0
2.3985,2.4282,0,0,0,2.3626,2.4621,0,0,0
2.3785,2.4337,0,0,0,2.3958,2.4594,0,0,0
2.3848,2.4327,0,0,0,2.3841,2.4468,0,0,0
2.3547,2.4106,0,0,0,2.3378,2.4335,0,0,0
2.3705,2.3982,0,0,0,2.3212,2.446,0,0,0
2.3667,2.4273,0,0,0,2.3234,2.4717,0,0,0
2.3672,2.4322,0,0,0,2.3056,2.4101,0,0,0
2.3714,2.4164,0,0,0,2.2976,2.4468,0,0,0
2.3873,2.4057,0,0,0,2.2875,2.4485,0,0,0
