y_1_25,y_2_25,y_5_25,y_6_25,y_mc_hu_25,y_1,y_2,y_5,y_6,y_mc_hu
2.4214,2.1751,0,0,0,2.2132,2.3461,0,0,0
2.3437,2.2733,0,0,0,2.2347,2.3973,0,0,0
2.2173,2.3005,0,0,0,2.274,2.3936,0,0,0
2.4207,2.1969,0,0,0,2.2379,2.427,0,0,0
2.4452,2.1761,0,0,0,2.2656,2.4091,0,0,0
2.6328,2.2697,0,0,0,2.3348,2.397,0,0,0
2.7407,2.178,0,0,0,2.2977,2.4533,0,0,0
2.6528,2.2697,0,0,0,2.3068,2.4139,0,0,0
2.5142,2.2278,0,0,0,2.3232,2.4143,0,0,0
2.4232,2.2337,0,0,0,2.3547,2.4477,0,0,0
2.5589,2.192,0,0,0,2.48,2.4189,0,0,0
2.5599,2.3908,0,0,0,2.4612,2.3528,0,0,0
2.5839,2.4373,0,0,0,2.5099,2.4026,0,0,0
2.5474,2.3922,0,0,0,2.4911,2.4137,0,0,0
2.4168,2.2392,0,0,0,2.4346,2.4979,0,0,0
2.3776,2.2937,0,0,0,2.4331,2.4144,0,0,0
2.427,2.3157,0,0,0,2.4747,2.5301,0,0,0
2.3886,2.3185,0,0,0,2.3104,2.5075,0,0,0
2.5068,2.3599,0,0,0,2.3129,2.3853,0,0,0
2.4678,2.3418,0,0,0,2.3862,2.3637,0,0,0
2.3675,2.325,0,0,0,2.4198,2.336,0,0,0
2.3456,2.2561,0,0,0,2.4399,2.3862,0,0,0
2.3077,2.2965,0,0,0,2.4446,2.4433,0,0,0
2.4294,2.5857,0,0,0,2.5796,2.521,0,0,0
2.5566,2.4266,0,0,0,2.5603,2.5893,0,0,0
2.4223,2.3254,0,0,0,2.6068,2.5335,0,0,0
2.5268,2.3782,0,0,0,2.5928,2.5644,0,0,0
2.4944,2.379,0,0,0,2.5058,2.5279,0,0,0
2.4256,2.207,0,0,0,2.4406,2.5691,0,0,0
2.4632,2.3539,0,0,0,2.4065,2.5165,0,0,0
2.5264,2.4673,0,0,0,2.3551,2.3706,0,0,0
2.5453,2.3581,0,0,0,2.4136,2.3323,0,0,0
2.6114,2.3944,0,0,0,2.4675,2.409,0,0,0
2.6052,2.3288,0,0,0,2.4921,2.4352,0,0,0
2.57,2.3329,0,0,0,2.4726,2.3705,0,0,0
2.5077,2.4762,0,0,0,2.5084,2.4022,0,0,0
2.7464,2.2964,0,0,0,2.4568,2.3551,0,0,0
2.9091,2.3874,0,0,0,2.4019,2.35,0,0,0
2.5886,2.4319,0,0,0,2.456,2.4649,0,0,0
2.545,2.587,0,0,0,2.5205,2.477,0,0,0
