uncertainty,IT
0.77548,0.98831
0.38135,0.97579
0.86089,0.99416
0.52957,0.97997
0.44181,0.97663
0.37075,0.9808
0.4051,0.97412
0.13437,0.96494
0.4204,0.97579
0.28423,0.97078
0.083939,0.96327
0.54377,0.9808
0.22822,0.97078
0.51479,0.98414
0.076274,0.9616
0.24812,0.97078
0.68491,0.98915
0.17712,0.96661
0.1494,0.96494
0.22726,0.96912
0.28087,0.96995
0.078668,0.9616
0.20782,0.96828
0.24598,0.97078
0.64484,0.98748
0.64151,0.98331
0.22874,0.96995
0.38742,0.97663
0.16734,0.96661
0.27462,0.97078
0.065973,0.9616
0.28747,0.97245
0.18833,0.96745
0.34612,0.97245
0.63159,0.98497
0.43462,0.9808
0.34107,0.97663
0.53541,0.97746
0.44047,0.98247
0.55639,0.98164
0.51999,0.97746
0.5826,0.98247
0.85373,0.99165
0.34145,0.97496
0.11484,0.96327
0.49889,0.97746
0.56982,0.98581
0.78462,0.98998
0.61471,0.98497
0.4034,0.97329
0.47839,0.9783
0.22493,0.96828
0.17277,0.96745
0.60238,0.9783
0.7547,0.98915
0.70998,0.98748
0.48309,0.9808
0.55557,0.98164
0.064086,0.96077
0.31573,0.97412
0.46595,0.9783
0.64068,0.98664
0.34639,0.97245
0.64888,0.98164
0.046322,0.96077
0.41169,0.98164
0.49907,0.98247
0.54667,0.97913
0.68671,0.98497
0.45788,0.97997
0.45012,0.97496
0.59588,0.98164
0.41749,0.9783
0.65907,0.98581
0.26983,0.97078
0.42698,0.97913
0.52692,0.97997
0.70064,0.98414
0.4723,0.97746
0.22776,0.96912
0.54301,0.97913
0.38131,0.97579
0.87517,0.99165
0.47014,0.98164
0.50937,0.97997
0.35501,0.97579
0.44091,0.9783
0.19856,0.96745
0.16999,0.96745
0.89911,0.98915
0.038754,0.95993
0.62933,0.98664
0.23022,0.96995
0.60993,0.98748
0.44084,0.97579
0.59211,0.98164
0.53517,0.98414
0.85626,0.99332
0.37143,0.97496
0.2216,0.96995
0.38618,0.97412
0.28263,0.97412
0.47636,0.9783
0.19876,0.96995
0.28665,0.97245
0.2525,0.97078
0.44847,0.98164
0.34403,0.97579
0.30581,0.97245
0.27883,0.97329
0.32861,0.97412
0.68601,0.98998
0.82165,0.98748
0.35248,0.97496
0.50454,0.98331
0.42913,0.97412
0.29304,0.97329
0.23564,0.96828
0.25688,0.96995
0.67058,0.98497
0.43723,0.98414
0.49527,0.98247
0.64388,0.98664
0.44792,0.97663
0.2922,0.97412
0.60464,0.98581
0.37009,0.97412
0.49252,0.97913
0.59545,0.98414
0.66448,0.98998
0.48212,0.97913
0.61812,0.98831
0.37145,0.97579
0.7587,0.98998
0.50631,0.97913
0.42027,0.97412
0.61445,0.9808
0.20096,0.96828
0.24991,0.96828
0.43713,0.97663
0.4827,0.97746
0.55329,0.98331
0.21549,0.96745
0.23538,0.96995
0.453,0.97579
0.86058,0.99583
0.26311,0.96995
0.2201,0.96661
0.53713,0.98414
0.082602,0.9616
0.48946,0.98164
0.56389,0.98581
0.26422,0.97078
0.20999,0.96828
0.42561,0.9783
0.62383,0.98164
0.16574,0.96578
0.61853,0.99165
0.53049,0.98247
0.59168,0.98247
0.36698,0.97245
0.49607,0.97997
0.75299,0.99249
0.59445,0.97997
0.32442,0.97412
0.35693,0.97329
0.46903,0.97913
0.59824,0.98581
0.61338,0.98247
0.45575,0.97997
0.24289,0.96995
0.2765,0.97078
0.37657,0.97496
0.46969,0.97579
0.51845,0.98247
0.26671,0.97162
0.30895,0.97663
0.56475,0.98164
0.10902,0.96411
0.43524,0.9783
0.62176,0.98581
0.81996,0.99082
0.58534,0.98497
0.38404,0.97412
0.24177,0.96912
0.1754,0.96661
0.6798,0.98664
0.26483,0.97245
0.62407,0.98748
0.45658,0.9808
0.2788,0.97078
0.55176,0.98581
0.27064,0.97162
0.45633,0.9808
0.27634,0.97412
0.5065,0.97913
0.48005,0.98414
0.48849,0.97997
0.43089,0.97913
0.36262,0.97496
0.33997,0.97579
0.55693,0.98414
0.21957,0.96828
0.39174,0.97663
0.41013,0.97746
0.39449,0.97663
0.38612,0.97579
0.77193,0.99165
0.49473,0.9783
0.37476,0.97913
0.40664,0.97329
0.39201,0.97496
0.31168,0.97245
0.15689,0.96578
0.63546,0.98414
0.39287,0.97663
0.56269,0.98497
0.63383,0.98331
0.53593,0.97746
0.18585,0.96745
0.34057,0.97245
0.2267,0.96912
0.31178,0.97245
0.17247,0.96745
0.40452,0.97997
0.38464,0.97412
0.5135,0.97997
0.34024,0.97329
0.36133,0.97496
0.60868,0.98414
0.45723,0.97913
0.37257,0.97245
0.20467,0.96745
0.49726,0.97913
0.34062,0.97245
